Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
397500.0,-269332.54480168555,63851.167910323886,-205481.37689136167
397600.0,-269287.28359648667,64309.8585323585,-204977.42506412818
397700.0,-268943.58438536257,64254.83156287697,-204688.7528224856
397800.0,-269219.6863859993,64268.90325102829,-204950.78313497102
397900.0,-269438.54616498307,63964.92411856013,-205473.62204642294
398000.0,-269229.4942896812,63937.48722539689,-205292.0070642843
398100.0,-268483.6319383398,64694.83934167936,-203788.79259666044
398200.0,-268860.57963768695,64305.95989894959,-204554.61973873735
398300.0,-269549.50680356903,64040.51386074431,-205508.99294282473
398400.0,-269454.54020053917,64208.38886645358,-205246.1513340856
398500.0,-268643.80604502856,64716.36104327238,-203927.4450017562
398600.0,-269074.81877458055,63655.27229508986,-205419.5464794907
398700.0,-269848.5832424376,64114.08126101076,-205734.50198142687
398800.0,-269715.80246939044,64302.27001148753,-205413.5324579029
398900.0,-269531.7576160124,64364.56855543816,-205167.18906057425
399000.0,-270648.67512014403,64013.78006446946,-206634.89505567457
399100.0,-270052.78506022185,64443.80581828939,-205608.97924193245
399200.0,-269716.1978750455,64556.97570178808,-205159.22217325738
399300.0,-270018.9077371446,64041.04846979247,-205977.85926735215
399400.0,-269369.674443224,64369.42977187545,-205000.24467134854
399500.0,-270179.546351944,64568.12416123402,-205611.42219070997
399600.0,-269751.5660545567,64288.54189335251,-205463.02416120417
399700.0,-270674.91477295244,64019.44640061989,-206655.46837233254
399800.0,-269780.5314069451,64035.98275037673,-205744.54865656834
399900.0,-269914.3789718555,64262.76830110239,-205651.6106707531
400000.0,-269698.00034261995,63919.519883946836,-205778.48045867312
400100.0,-270216.67227788834,64304.22984934483,-205912.44242854352
400200.0,-269476.5328332047,63790.67346223696,-205685.85937096775
400300.0,-269732.6920047855,64190.684848182056,-205542.00715660347
400400.0,-270093.93770146725,64119.05111049832,-205974.88659096893
400500.0,-269601.7523215881,64126.579941766555,-205475.17237982154
400600.0,-269525.93885417,64369.968561109745,-205155.97029306024
400700.0,-269907.82421568944,63915.21755900087,-205992.60665668856
400800.0,-269636.01945174526,63924.90741397121,-205711.11203777406
400900.0,-270327.46004493645,64172.64905000431,-206154.81099493214
401000.0,-270358.63411621086,64209.728879128954,-206148.9052370819
401100.0,-270229.24829400284,64670.546620580266,-205558.7016734226
401200.0,-269933.5330713507,63862.854936620446,-206070.67813473026
401300.0,-269978.65324754245,64050.27447695637,-205928.37877058607
401400.0,-269661.88698323915,64662.05229612512,-204999.83468711402
401500.0,-269575.9738859474,64080.41055423981,-205495.56333170756
401600.0,-269954.54866319615,64009.269462474855,-205945.2792007213
401700.0,-269682.65492881334,64627.78764338088,-205054.86728543247
401800.0,-269550.7315996741,64069.14987084393,-205481.58172883018
401900.0,-270450.10053543735,64220.21492646457,-206229.88560897278
402000.0,-269534.6948844343,64110.32225206659,-205424.3726323677
402100.0,-269583.9379934934,63781.639126683476,-205802.29886680993
402200.0,-268871.2789514605,64057.4468716253,-204813.83207983518
402300.0,-269727.8242370155,64560.04390141355,-205167.78033560194
402400.0,-269479.5262128094,64096.781129828545,-205382.74508298084
402500.0,-270044.85559385794,64347.90464451739,-205696.95094934053
402600.0,-269602.54128704243,64056.9780513868,-205545.56323565563
402700.0,-269847.98005653895,64205.03654949736,-205642.94350704158
402800.0,-269768.89037300204,64570.80454776589,-205198.08582523616
402900.0,-269821.62130278605,64407.0807175923,-205414.54058519375
403000.0,-269632.809348206,63790.45418355074,-205842.35516465525
403100.0,-269826.44295105233,64219.69943919536,-205606.74351185697
403200.0,-269358.73929218424,64092.76984294377,-205265.96944924048
403300.0,-269929.6487528871,64288.336438814185,-205641.31231407291
403400.0,-269539.2140476611,64325.31240593745,-205213.90164172364
403500.0,-270406.70944004715,64183.16951701164,-206223.5399230355
403600.0,-269374.0725442,63892.30020517451,-205481.77233902548
403700.0,-269260.79971832916,64263.26006941106,-204997.5396489181
403800.0,-269324.12520465744,64469.17278148726,-204854.95242317018
403900.0,-269175.75348364236,64321.53805530841,-204854.21542833396
404000.0,-269121.25526232936,64452.88960637073,-204668.36565595862
404100.0,-269348.030191701,64657.74404665048,-204690.28614505054
404200.0,-269588.66086801316,64679.5895817681,-204909.07128624507
404300.0,-269931.8214568179,64555.44036607086,-205376.38109074705
404400.0,-268995.03787503473,64394.145399439876,-204600.89247559485
404500.0,-269850.4641911233,64219.03462758314,-205631.42956354018
404600.0,-269652.189558147,63878.76390724784,-205773.42565089915
404700.0,-269638.2410887121,64083.679952417064,-205554.56113629506
404800.0,-269836.40620390663,64043.284048284826,-205793.12215562182
404900.0,-269960.63336931507,64273.69794080971,-205686.93542850536
405000.0,-269648.78021809325,63866.722292915256,-205782.057925178
405100.0,-270240.9724648553,63909.87939760377,-206331.09306725152
405200.0,-268920.3803142116,64229.20124096553,-204691.17907324608
405300.0,-269007.036139054,63671.065461829625,-205335.97067722437
405400.0,-269524.4699183176,64220.60035865674,-205303.8695596609
405500.0,-270154.0497495953,63949.35921596061,-206204.69053363468
405600.0,-269360.52951148467,64072.700558231976,-205287.8289532527
405700.0,-269212.6524051523,64099.858021712294,-205112.79438344
405800.0,-269558.0225796194,64447.95384392421,-205110.0687356952
405900.0,-269371.44509580004,64489.46220831208,-204881.98288748797
406000.0,-269549.1148890208,64176.421715138575,-205372.69317388223
406100.0,-269439.70009071316,64080.34119009214,-205359.358900621
406200.0,-269679.67609637586,64414.895821978454,-205264.7802743974
406300.0,-269091.05116866995,63938.42027952717,-205152.63088914278
406400.0,-269289.50907368556,64060.5706636691,-205228.93841001648
406500.0,-269404.2591648436,64892.76237311459,-204511.496791729
406600.0,-269555.0339558981,64191.14740224266,-205363.8865536554
406700.0,-269330.12062652706,64442.945725384525,-204887.17490114254
406800.0,-269614.40147927846,64333.56402534951,-205280.83745392895
406900.0,-269456.08210281347,64543.859250910435,-204912.22285190303
407000.0,-269338.2092601955,64100.398492582135,-205237.81076761335
407100.0,-269429.8177467652,64237.539363767326,-205192.2783829979
407200.0,-269243.5683320588,63987.46638652282,-205256.10194553598
407300.0,-269681.56597047194,64038.53567333955,-205643.03029713238
407400.0,-269244.6914533095,64248.54557743909,-204996.14587587042
407500.0,-269444.3901135741,64522.39345795922,-204921.99665561487
407600.0,-269597.8405789229,63998.66382031192,-205599.17675861096
407700.0,-268885.2017848067,63986.72489373908,-204898.47689106758
407800.0,-268572.394277534,64354.26751645672,-204218.12676107726
407900.0,-269929.84655751707,64694.68472560212,-205235.16183191494
408000.0,-269804.53722146334,64180.885963749395,-205623.65125771394
408100.0,-269574.765047549,64064.46289477093,-205510.30215277805
408200.0,-270191.8975876311,64625.66649995156,-205566.2310876795
408300.0,-270001.8135275256,64271.9323099677,-205729.88121755788
408400.0,-269608.6184493153,64051.70857342408,-205556.90987589123
408500.0,-269271.73762797646,64230.47640384448,-205041.26122413197
408600.0,-269996.52139626734,64381.57267940574,-205614.9487168616
408700.0,-269240.99096585554,64660.00326110833,-204580.9877047472
408800.0,-269314.4494729042,63886.98251877785,-205427.46695412637
408900.0,-269991.5168636011,64383.24723213336,-205608.26963146776
409000.0,-269771.81798446004,64332.99935701289,-205438.81862744715
