RDF_ace_ace,RDF_ace_acka,RDF_ace_etoh,RDF_ace_fba,RDF_ace_fusa,RDF_ace_parg,RDF_ace_pyk,RDF_ace_rp,RDF_acka_ace,RDF_acka_acka,RDF_acka_etoh,RDF_acka_fba,RDF_acka_fusa,RDF_acka_parg,RDF_acka_pyk,RDF_acka_rp,RDF_etoh_ace,RDF_etoh_acka,RDF_etoh_etoh,RDF_etoh_fba,RDF_etoh_fusa,RDF_etoh_parg,RDF_etoh_pyk,RDF_etoh_rp,RDF_fba_ace,RDF_fba_acka,RDF_fba_etoh,RDF_fba_fba,RDF_fba_fusa,RDF_fba_parg,RDF_fba_pyk,RDF_fba_rp,RDF_fusa_ace,RDF_fusa_acka,RDF_fusa_etoh,RDF_fusa_fba,RDF_fusa_fusa,RDF_fusa_parg,RDF_fusa_pyk,RDF_fusa_rp,RDF_parg_ace,RDF_parg_acka,RDF_parg_etoh,RDF_parg_fba,RDF_parg_fusa,RDF_parg_parg,RDF_parg_pyk,RDF_parg_rp,RDF_pyk_ace,RDF_pyk_acka,RDF_pyk_etoh,RDF_pyk_fba,RDF_pyk_fusa,RDF_pyk_parg,RDF_pyk_pyk,RDF_pyk_rp,RDF_rp_ace,RDF_rp_acka,RDF_rp_etoh,RDF_rp_fba,RDF_rp_fusa,RDF_rp_parg,RDF_rp_pyk,RDF_rp_rp,r
600789.3720703125,0.0,15500.92333984375,0.0,0.0,12399.603427734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15509.52119140625,0.0,15698.603984375,0.0,0.0,6370.594501953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12385.82998046875,0.0,6359.9909765625,0.0,0.0,42.72201171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010268561840057373
267408.3015136719,0.0,9339.18271484375,0.0,0.0,8490.586298828124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9344.36294921875,0.0,13185.39689453125,0.0,0.0,3524.3939697265623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8481.155234375,0.0,3518.52787109375,0.0,0.0,4879.8941723632815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011246520280838012
291880.0583496094,0.0,8150.7916015625,0.0,0.0,3896.4120703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8155.31244140625,0.0,15904.68689453125,0.0,0.0,2428.8536682128906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3892.0840356445315,0.0,2424.811044921875,0.0,0.0,11517.81935546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012224478721618652
403479.087890625,0.0,14391.59259765625,0.0,0.0,1852.5550225830077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14399.57498046875,0.0,25937.0400390625,0.0,0.0,1539.9200634765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850.4972021484375,0.0,1537.35697265625,0.0,0.0,7367.7919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013202435970306396
574358.90234375,0.0,21041.44625,0.0,0.0,940.7177941894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21053.1169921875,0.0,26460.4799609375,0.0,0.0,1505.1483837890626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.6729016113281,0.0,1502.6431811523437,0.0,0.0,4190.754602050782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014180395603179932
793270.962890625,0.0,20592.95609375,0.0,0.0,688.0356958007812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20604.3784375,0.0,22143.5685546875,0.0,0.0,1274.1401098632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.2714599609375,0.0,1272.0193896484375,0.0,0.0,2098.5928173828124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015158352851867675
723374.1064453125,0.0,18533.62796875,0.0,0.0,975.6552331542969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18543.90787109375,0.0,17774.16591796875,0.0,0.0,1889.0344311523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.5714916992188,0.0,1885.8902661132813,0.0,0.0,2561.648369140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016136312484741212
653311.6650390625,0.0,15121.32228515625,0.0,0.0,2140.7348620605467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15129.70970703125,0.0,15423.3065625,0.0,0.0,2568.2663623046874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2138.3569140625,0.0,2563.991708984375,0.0,0.0,3046.6976989746095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017114269733428954
601672.5361328125,0.0,11450.07380859375,0.0,0.0,2770.209208984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11456.424609375,0.0,11815.32017578125,0.0,0.0,2744.061787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2767.131953125,0.0,2739.49447265625,0.0,0.0,3084.3050830078123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01809222936630249
480346.224609375,0.0,8447.745400390624,0.0,0.0,2508.2953076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8452.431015625,0.0,9582.8119140625,0.0,0.0,2878.6556982421876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2505.509140625,0.0,2873.8643383789063,0.0,0.0,4089.85693359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019070186614990235
