Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
745900.0,-55781.04117178948,6446.822434804578,-49334.218736984905
746000.0,-55747.43416599466,6446.231980331755,-49301.2021856629
746100.0,-55818.30973125855,6512.401713872392,-49305.90801738616
746200.0,-55700.01171660397,6389.947634777226,-49310.06408182674
746300.0,-55557.571464331595,6511.732402317262,-49045.83906201433
746400.0,-55669.039786634574,6428.053850595221,-49240.98593603935
746500.0,-55484.296352688914,6317.006469973988,-49167.289882714926
746600.0,-55536.30457102324,6453.162274159586,-49083.142296863654
746700.0,-55472.79997278193,6638.027371547096,-48834.772601234836
746800.0,-55470.542829720405,6423.529700288947,-49047.013129431456
746900.0,-55735.56210194562,6519.89167718585,-49215.67042475977
747000.0,-55643.009096908456,6448.809728012264,-49194.199368896196
747100.0,-55619.666034975686,6254.516661159371,-49365.14937381631
747200.0,-55527.21413814023,6458.630455790513,-49068.58368234972
747300.0,-55512.08283831809,6570.220795755269,-48941.862042562825
747400.0,-55505.37644139897,6485.840030294028,-49019.53641110494
747500.0,-55413.79236020433,6467.83853158433,-48945.95382862
747600.0,-55484.77344592955,6405.96501437017,-49078.80843155938
747700.0,-55365.22642083245,6484.404216272669,-48880.82220455978
747800.0,-55230.27286180402,6468.738053759118,-48761.534808044904
747900.0,-55411.7832191006,6423.611015533954,-48988.172203566646
748000.0,-55635.56616147227,6467.25651052411,-49168.30965094816
748100.0,-55488.63335171873,6515.757095546749,-48972.87625617198
748200.0,-55452.15807918626,6545.1799728046335,-48906.978106381626
748300.0,-55531.01124365792,6276.728929343373,-49254.28231431455
748400.0,-55303.80916903204,6512.55762223019,-48791.251546801854
748500.0,-55357.17782428938,6449.31137591553,-48907.86644837385
748600.0,-55714.013152830135,6460.522159966826,-49253.49099286331
748700.0,-55445.56157941348,6331.445079750134,-49114.116499663345
748800.0,-55389.197872248194,6269.391176872867,-49119.80669537533
748900.0,-55425.52085088812,6498.556215099654,-48926.96463578846
749000.0,-55443.86123410078,6320.696753559087,-49123.164480541695
749100.0,-55649.41014384912,6413.896879743138,-49235.51326410598
749200.0,-55408.47162545413,6370.15400009691,-49038.31762535722
749300.0,-55308.829626169805,6378.764325378672,-48930.06530079113
749400.0,-55794.61166614611,6458.172654782459,-49336.439011363655
749500.0,-55662.6787972342,6433.640179243127,-49229.03861799107
749600.0,-55404.22903154087,6454.984910269535,-48949.24412127133
749700.0,-55430.98710272111,6494.0514234007405,-48936.93567932037
749800.0,-55332.77233339603,6550.4748422696675,-48782.29749112637
749900.0,-55661.529053570324,6333.848531553016,-49327.68052201731
750000.0,-55463.67985788865,6331.739587632226,-49131.940270256426
750100.0,-55159.47052266842,6391.161486650535,-48768.30903601788
750200.0,-55406.45293467363,6440.769649150787,-48965.68328552284
750300.0,-55456.05374921604,6428.375954056173,-49027.67779515986
750400.0,-55432.82631773992,6368.188831128076,-49064.63748661184
750500.0,-55502.794244665594,6498.961196990873,-49003.83304767472
750600.0,-55297.06796084004,6467.745807180533,-48829.32215365951
750700.0,-55397.97015726572,6532.11122268928,-48865.85893457644
750800.0,-55491.82298950682,6413.478337631047,-49078.34465187578
750900.0,-55412.24782344986,6470.763417183436,-48941.48440626643
751000.0,-55405.48525542235,6396.814804804018,-49008.67045061833
751100.0,-55338.12382121008,6344.224805776742,-48993.89901543334
751200.0,-55261.89239592695,6445.076986151016,-48816.81540977594
751300.0,-55466.11581489023,6420.674658378772,-49045.44115651146
751400.0,-55522.924745049204,6453.995814919654,-49068.92893012955
751500.0,-55408.26577253847,6427.660500556262,-48980.60527198221
751600.0,-55622.33097810669,6476.296234436535,-49146.034743670156
751700.0,-55485.07886722414,6390.000982878026,-49095.077884346116
751800.0,-55429.77858877193,6485.976835944823,-48943.80175282711
751900.0,-55497.85649728189,6393.396136297208,-49104.46036098468
752000.0,-55583.56865893295,6526.507444875908,-49057.061214057045
752100.0,-55474.351749008376,6502.372690151478,-48971.9790588569
752200.0,-55807.661152881636,6391.135154385475,-49416.52599849616
752300.0,-55498.5971920021,6509.848143942903,-48988.749048059195
752400.0,-55786.52697865918,6633.912857743606,-49152.614120915576
752500.0,-55598.938643600675,6302.685008875127,-49296.25363472555
752600.0,-55779.112207668746,6407.40244245657,-49371.709765212174
752700.0,-55546.93696621209,6404.330376812442,-49142.60658939964
752800.0,-55555.19925288038,6467.1723487500985,-49088.02690413028
752900.0,-55650.0596449305,6523.238409023148,-49126.82123590735
753000.0,-55195.23969019886,6384.062288903566,-48811.177401295296
753100.0,-55411.13895261414,6484.957587192235,-48926.18136542191
753200.0,-55612.60112971144,6344.470460720786,-49268.13066899065
753300.0,-55538.65378307704,6508.194586847397,-49030.45919622964
753400.0,-55455.02021070651,6505.816804570488,-48949.203406136025
753500.0,-55462.45794804228,6473.474984086465,-48988.982963955816
753600.0,-55579.53627565647,6411.17191336023,-49168.36436229624
753700.0,-55560.419625810886,6401.7874111796245,-49158.63221463126
753800.0,-55494.432288158525,6372.491314603874,-49121.94097355465
753900.0,-55583.755356772395,6444.744397073824,-49139.01095969857
754000.0,-55457.86369651009,6338.074518486033,-49119.78917802405
754100.0,-55343.03043652872,6471.946044343846,-48871.08439218488
754200.0,-55498.24481797517,6372.347087476178,-49125.89773049899
754300.0,-55465.30842656138,6423.575179804272,-49041.73324675711
754400.0,-55418.70045408487,6374.077547288465,-49044.62290679641
754500.0,-55653.315477804514,6604.50875723209,-49048.80672057242
754600.0,-55578.52286582932,6456.684759674718,-49121.8381061546
754700.0,-55475.402693849384,6558.998998339881,-48916.40369550951
754800.0,-55276.31630881804,6451.845714582851,-48824.47059423519
754900.0,-55561.536696712355,6318.877293642605,-49242.65940306975
755000.0,-55456.01148583681,6358.992462359768,-49097.01902347704
755100.0,-55440.34647575137,6331.927589611848,-49108.41888613952
755200.0,-55446.402431184615,6432.241122244776,-49014.16130893984
755300.0,-55235.97979050604,6400.766285278603,-48835.21350522744
755400.0,-55597.300344694726,6417.418746880814,-49179.88159781391
755500.0,-55553.641280476324,6378.06986066574,-49175.571419810585
755600.0,-55422.03745573823,6340.286659486381,-49081.75079625185
755700.0,-55290.32710606513,6270.550468269947,-49019.776637795185
755800.0,-55380.5532467818,6423.777620652072,-48956.775626129725
755900.0,-55506.70841584695,6506.904825501677,-48999.80359034528
756000.0,-55348.94860926363,6357.879476437174,-48991.06913282645
756100.0,-55538.235424835206,6490.064307842048,-49048.17111699316
756200.0,-55645.53748600774,6467.680875069656,-49177.856610938084
756300.0,-55711.36201673337,6383.041636959362,-49328.32037977401
756400.0,-55584.84095123498,6415.108404048402,-49169.73254718658
756500.0,-55481.4823456177,6506.450657252506,-48975.03168836519
756600.0,-55490.68523120803,6434.474032592872,-49056.21119861516
756700.0,-55449.21962761996,6279.816168475858,-49169.4034591441
756800.0,-55612.74072974292,6335.414180864695,-49277.32654887823
756900.0,-55335.216035551595,6345.650144430898,-48989.5658911207
757000.0,-55662.240576358294,6432.7222671503905,-49229.5183092079
757100.0,-55345.713926206416,6348.70006301826,-48997.01386318816
757200.0,-55326.60977625729,6443.094940623686,-48883.51483563361
757300.0,-55268.67222955117,6376.572830241928,-48892.09939930924
757400.0,-55411.418497747014,6560.6070405387345,-48850.81145720828
757500.0,-55381.359313176334,6487.683915964956,-48893.67539721138
757600.0,-55469.12514305875,6408.249427690955,-49060.875715367794
757700.0,-55266.81578067055,6521.062240502777,-48745.753540167774
757800.0,-55350.096070294574,6530.271897200091,-48819.82417309449
757900.0,-55518.635937008454,6352.966987781063,-49165.66894922739
758000.0,-55509.51653797721,6353.562262997129,-49155.954274980075
758100.0,-55422.842531441886,6298.57990147077,-49124.26262997111
758200.0,-55307.00792686975,6479.9705561951505,-48827.0373706746
758300.0,-55331.15027738518,6568.288643451271,-48762.86163393391
758400.0,-55140.014409698866,6411.418317424423,-48728.59609227444
758500.0,-55492.83389323675,6355.679749553663,-49137.15414368309
758600.0,-55454.832227037274,6485.769778646834,-48969.06244839044
