,Cluster,Num_Constituents,Total_Mass,Total_Charge,Sum_Radii
171,Frame15_Cluster3,389,389000,0,291.75
172,Frame15_Cluster4,352,352000,0,264.0
173,Frame15_Cluster5,313,313000,0,234.75
174,Frame15_Cluster6,291,291000,0,218.25
175,Frame15_Cluster7,244,244000,0,183.0
176,Frame15_Cluster8,241,241000,0,180.75
177,Frame15_Cluster9,207,207000,0,155.25
178,Frame15_Cluster10,206,206000,0,154.5
179,Frame15_Cluster11,138,138000,0,103.5
180,Frame16_Cluster0,586,586000,0,439.5
181,Frame16_Cluster1,433,433000,0,324.75
182,Frame16_Cluster2,414,414000,0,310.5
183,Frame16_Cluster3,389,389000,0,291.75
184,Frame16_Cluster4,352,352000,0,264.0
185,Frame16_Cluster5,313,313000,0,234.75
186,Frame16_Cluster6,292,292000,0,219.0
187,Frame16_Cluster7,244,244000,0,183.0
188,Frame16_Cluster8,241,241000,0,180.75
189,Frame16_Cluster9,207,207000,0,155.25
190,Frame16_Cluster10,206,206000,0,154.5
191,Frame16_Cluster11,138,138000,0,103.5
192,Frame17_Cluster0,586,586000,0,439.5
193,Frame17_Cluster1,433,433000,0,324.75
194,Frame17_Cluster2,414,414000,0,310.5
195,Frame17_Cluster3,389,389000,0,291.75
196,Frame17_Cluster4,352,352000,0,264.0
197,Frame17_Cluster5,313,313000,0,234.75
198,Frame17_Cluster6,292,292000,0,219.0
199,Frame17_Cluster7,244,244000,0,183.0
200,Frame17_Cluster8,241,241000,0,180.75
201,Frame17_Cluster9,207,207000,0,155.25
202,Frame17_Cluster10,206,206000,0,154.5
203,Frame17_Cluster11,138,138000,0,103.5
204,Frame18_Cluster0,586,586000,0,439.5
205,Frame18_Cluster1,433,433000,0,324.75
206,Frame18_Cluster2,414,414000,0,310.5
207,Frame18_Cluster3,389,389000,0,291.75
208,Frame18_Cluster4,352,352000,0,264.0
209,Frame18_Cluster5,313,313000,0,234.75
210,Frame18_Cluster6,292,292000,0,219.0
211,Frame18_Cluster7,244,244000,0,183.0
212,Frame18_Cluster8,241,241000,0,180.75
213,Frame18_Cluster9,207,207000,0,155.25
214,Frame18_Cluster10,206,206000,0,154.5
215,Frame18_Cluster11,138,138000,0,103.5
216,Frame19_Cluster0,586,586000,0,439.5
217,Frame19_Cluster1,432,432000,0,324.0
218,Frame19_Cluster2,414,414000,0,310.5
219,Frame19_Cluster3,389,389000,0,291.75
220,Frame19_Cluster4,352,352000,0,264.0
221,Frame19_Cluster5,313,313000,0,234.75
222,Frame19_Cluster6,292,292000,0,219.0
223,Frame19_Cluster7,244,244000,0,183.0
224,Frame19_Cluster8,241,241000,0,180.75
225,Frame19_Cluster9,207,207000,0,155.25
226,Frame19_Cluster10,206,206000,0,154.5
227,Frame19_Cluster11,138,138000,0,103.5
228,Frame20_Cluster0,586,586000,0,439.5
229,Frame20_Cluster1,433,433000,0,324.75
230,Frame20_Cluster2,414,414000,0,310.5
231,Frame20_Cluster3,389,389000,0,291.75
232,Frame20_Cluster4,352,352000,0,264.0
233,Frame20_Cluster5,313,313000,0,234.75
234,Frame20_Cluster6,291,291000,0,218.25
235,Frame20_Cluster7,244,244000,0,183.0
236,Frame20_Cluster8,241,241000,0,180.75
237,Frame20_Cluster9,207,207000,0,155.25
238,Frame20_Cluster10,206,206000,0,154.5
239,Frame20_Cluster11,138,138000,0,103.5
240,Frame21_Cluster0,586,586000,0,439.5
241,Frame21_Cluster1,433,433000,0,324.75
242,Frame21_Cluster2,414,414000,0,310.5
243,Frame21_Cluster3,389,389000,0,291.75
244,Frame21_Cluster4,352,352000,0,264.0
245,Frame21_Cluster5,313,313000,0,234.75
246,Frame21_Cluster6,292,292000,0,219.0
