Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
965100.0,-49575.17299220886,6443.764471374885,-43131.40852083398
965200.0,-49481.08951568551,6456.473399955727,-43024.61611572978
965300.0,-49680.88662371553,6354.948345757606,-43325.938277957925
965400.0,-49660.768374232524,6383.623188637979,-43277.14518559455
965500.0,-49813.210026656205,6490.826412591742,-43322.38361406446
965600.0,-49459.825062617834,6391.310228760862,-43068.51483385697
965700.0,-49752.88403483374,6402.512213474406,-43350.37182135933
965800.0,-49687.7541844791,6412.699730157861,-43275.05445432124
965900.0,-49463.32754694819,6291.750004771137,-43171.57754217705
966000.0,-49707.44346431735,6448.318001889159,-43259.125462428194
966100.0,-49699.4669558862,6373.761386026167,-43325.70556986003
966200.0,-49550.46781862411,6324.614569408723,-43225.85324921538
966300.0,-49325.21673286683,6532.6846051432285,-42792.5321277236
966400.0,-49519.71683503993,6244.8659373571445,-43274.85089768279
966500.0,-49853.626442128596,6353.972642248138,-43499.653799880456
966600.0,-49635.944803414975,6453.995208376071,-43181.9495950389
966700.0,-49675.302677493055,6602.115244452947,-43073.187433040104
966800.0,-49588.10821208695,6460.409079036292,-43127.69913305066
966900.0,-49836.10831832708,6436.6540589618135,-43399.454259365266
967000.0,-49780.32695434041,6402.182538913261,-43378.144415427145
967100.0,-49561.5064030159,6385.61409937852,-43175.892303637374
967200.0,-49328.58578633163,6378.680333095393,-42949.905453236235
967300.0,-49530.619982941644,6362.059909970221,-43168.56007297142
967400.0,-49373.00470117243,6471.624769774993,-42901.37993139744
967500.0,-49484.26530583089,6435.231751810512,-43049.03355402038
967600.0,-49759.5690897958,6486.798654328783,-43272.77043546701
967700.0,-49562.32174828915,6456.592663415095,-43105.72908487405
967800.0,-49589.486021233795,6359.638844236917,-43229.847176996875
967900.0,-49706.84161420292,6398.6900901251265,-43308.15152407779
968000.0,-49514.08398687197,6384.2506494117315,-43129.83333746024
968100.0,-49425.254466874074,6588.1613072227565,-42837.09315965132
968200.0,-49605.126809794514,6533.474463330084,-43071.65234646443
968300.0,-49462.51519098472,6461.891963766531,-43000.62322721819
968400.0,-49413.874061827155,6400.938274753969,-43012.935787073184
968500.0,-49352.168483183545,6313.369273238578,-43038.79920994497
968600.0,-49610.379363802356,6452.833680283146,-43157.54568351921
968700.0,-49740.174286837835,6452.707834057274,-43287.46645278056
968800.0,-49657.443506954645,6349.839410112136,-43307.60409684251
968900.0,-49892.141846728045,6427.382395856332,-43464.759450871716
969000.0,-49688.85502142276,6408.906930671261,-43279.948090751495
969100.0,-49950.754013434474,6414.232881484268,-43536.521131950205
969200.0,-49669.048489697074,6498.93336958328,-43170.11512011379
969300.0,-49526.4639875164,6438.897398666021,-43087.56658885038
969400.0,-49382.55926696946,6400.808255333686,-42981.75101163577
969500.0,-49375.67704643133,6325.317228199244,-43050.359818232086
969600.0,-49389.992341037614,6415.718076692136,-42974.27426434548
969700.0,-49720.727686624086,6477.770289270398,-43242.95739735369
969800.0,-49521.991446850894,6426.968027468283,-43095.02341938261
969900.0,-49585.09988225634,6399.055020369216,-43186.04486188712
970000.0,-49595.0191312326,6489.429091807779,-43105.59003942482
970100.0,-49510.4042701663,6412.356770940295,-43098.047499226006
970200.0,-49676.15533311401,6386.854618437032,-43289.30071467698
970300.0,-49671.38185396673,6494.642937261154,-43176.73891670558
970400.0,-49757.05557691004,6443.432186604683,-43313.62339030536
970500.0,-49324.49462673835,6513.8746772096765,-42810.61994952867
