Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
763200.0,-66961.39787193816,6403.308450741117,-60558.08942119704
763300.0,-67314.24782724777,6525.922045541087,-60788.32578170669
763400.0,-67123.77833866175,6634.157255466678,-60489.621083195074
763500.0,-67271.55060083276,6588.969407513328,-60682.581193319435
763600.0,-67206.14566698881,6541.520912840973,-60664.62475414784
763700.0,-67275.90125909151,6537.90173759111,-60737.9995215004
763800.0,-67336.39148458585,6459.605516470291,-60876.78596811556
763900.0,-67009.43337855898,6380.887344375273,-60628.54603418371
764000.0,-67138.62928668366,6369.68248937933,-60768.94679730433
764100.0,-67266.50084185164,6380.26571502598,-60886.23512682566
764200.0,-67064.75391445955,6380.025861867491,-60684.72805259206
764300.0,-67317.62993542542,6429.294749523298,-60888.33518590212
764400.0,-67156.233074692,6290.6474145324555,-60865.58566015955
764500.0,-66987.52993691579,6443.1416238446855,-60544.388313071104
764600.0,-66922.33589819464,6445.705036437013,-60476.63086175762
764700.0,-67059.53307917697,6394.771630705896,-60664.76144847107
764800.0,-67164.90682433145,6381.270525066434,-60783.63629926502
764900.0,-66921.60883157709,6338.1916921824895,-60583.4171393946
765000.0,-67016.27980297597,6472.885883655667,-60543.393919320304
765100.0,-66986.43457192104,6410.663294711526,-60575.77127720951
765200.0,-67144.06626303442,6426.091969085746,-60717.97429394867
765300.0,-67237.3291005191,6422.73955762724,-60814.58954289186
765400.0,-67245.2682446105,6499.305807486073,-60745.96243712443
765500.0,-67219.62426851678,6465.284229965732,-60754.34003855105
765600.0,-67295.75423003425,6472.062364533932,-60823.69186550032
765700.0,-67324.95073863766,6421.488682325913,-60903.46205631175
765800.0,-66961.87284831061,6279.308641837943,-60682.56420647267
765900.0,-67262.59833019755,6474.280460609107,-60788.31786958844
766000.0,-67278.32505583335,6406.26860566868,-60872.05645016467
766100.0,-67116.34102065145,6438.231677187963,-60678.10934346349
766200.0,-67210.46243522268,6367.436453970979,-60843.0259812517
766300.0,-67105.57311936672,6348.832024947649,-60756.74109441906
766400.0,-67180.91063476232,6452.623600299429,-60728.28703446289
766500.0,-67196.09934874711,6425.566869518761,-60770.53247922835
766600.0,-67481.71783581817,6403.947637516701,-61077.77019830147
766700.0,-67009.24655162575,6249.523936989823,-60759.72261463593
766800.0,-66976.76195797554,6420.179424182941,-60556.5825337926
