Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
415900.075,-653338.2405850887,64065.650358031315,-589272.5902270575
415900.076,-653427.7087447594,64217.76632459602,-589209.9424201634
415900.07700000005,-653328.0937260957,64301.78506178072,-589026.308664315
415900.07800000004,-653234.5075300211,64329.712228264725,-588904.7953017564
415900.079,-653152.0427290199,64121.333491924604,-589030.7092370953
415900.08,-653180.4252890013,64215.29250644208,-588965.1327825593
415900.081,-653176.034059529,64361.17760602398,-588814.856453505
415900.082,-653134.071394749,64334.27637724341,-588799.7950175055
415900.08300000004,-653288.2419340591,64100.59330743135,-589187.6486266277
415900.08400000003,-653322.2806366167,64316.07733756068,-589006.203299056
415900.085,-653345.7226574578,64615.657403365076,-588730.0652540927
415900.086,-653155.2215005753,63780.66053257529,-589374.560968
415900.087,-653296.6853657865,63755.4285053083,-589541.2568604782
415900.08800000005,-653304.8685820693,64403.082428806694,-588901.7861532626
415900.08900000004,-653278.0800472177,63925.542519257404,-589352.5375279603
415900.09,-653341.3648090636,64401.069242748155,-588940.2955663154
415900.091,-653098.9109284078,64153.123064783795,-588945.787863624
415900.092,-653203.7251180633,64133.45796047522,-589070.267157588
415900.093,-653219.6019292127,64526.73601537918,-588692.8659138335
415900.09400000004,-653395.3010657073,64797.48947339913,-588597.8115923082
415900.09500000003,-653389.1490642303,64775.65760092843,-588613.4914633018
415900.096,-653118.5132937902,64234.79288862873,-588883.7204051614
415900.097,-653192.0939767833,64301.20804157392,-588890.8859352095
415900.098,-653250.5859745208,64271.216499991235,-588979.3694745295
415900.09900000005,-653319.3004198645,64191.00922256394,-589128.2911973005
415900.10000000003,-653220.26478871,64235.52579654252,-588984.7389921675
415900.2,-653312.5297411408,63920.51795349346,-589392.0117876474
415900.30000000005,-652945.5657021652,63632.498736847425,-589313.0669653178
415900.4,-653531.4206600524,64189.25249056509,-589342.1681694874
415900.5,-653823.8263231853,63816.60143554897,-590007.2248876364
415900.60000000003,-653285.5914883695,64383.174272557604,-588902.4172158119
415900.7,-653674.0255995975,64203.74626208603,-589470.2793375114
415900.80000000005,-653763.5964521099,64314.21300277067,-589449.3834493392
415900.9,-653544.4315071246,63775.477814979065,-589768.9536921455
415901.0,-653242.1245865489,64138.38759130865,-589103.7369952402
415901.10000000003,-653324.1652736156,64450.2400974627,-588873.925176153
415901.2,-653338.2778846405,63867.708449859165,-589470.5694347813
415901.30000000005,-653345.6169675958,64289.90606824867,-589055.7108993471
415901.4,-653737.5599407011,64508.79482753875,-589228.7651131623
415901.5,-653306.845842937,64298.26786640583,-589008.5779765311
415901.60000000003,-653559.3591910466,64211.58226317203,-589347.7769278745
415901.7,-653432.3080590868,64203.10623410346,-589229.2018249833
415901.80000000005,-653408.2037988978,64407.652136566205,-589000.5516623316
415901.9,-653513.3465021489,63801.70828570243,-589711.6382164465
415902.0,-653504.8573518561,63691.72583782456,-589813.1315140316
415902.10000000003,-653636.773731412,64082.449970094196,-589554.3237613179
415902.2,-653554.3966505523,64058.07081415552,-589496.3258363968
415902.30000000005,-653583.0702906771,64442.9689454531,-589140.1013452241
415902.4,-653466.57406723,64532.29622008013,-588934.2778471499
415902.5,-652970.1187238512,64424.24211400168,-588545.8766098495
415902.60000000003,-653290.4169816028,64122.45907500664,-589167.9579065961
415902.7,-653259.4265188781,64579.041549419446,-588680.3849694587
415902.80000000005,-653439.7387657114,63867.48591374169,-589572.2528519698
415902.9,-653660.049936135,64285.302976217106,-589374.7469599178
415903.0,-653899.6316749253,64095.858648363486,-589803.7730265618
415903.10000000003,-653915.8998947111,64293.71231435373,-589622.1875803573
415903.2,-653512.6731595754,63750.33593447065,-589762.3372251048
415903.30000000005,-653453.2663475736,64216.713391425175,-589236.5529561484
415903.4,-653242.3699976623,64303.37552291611,-588938.9944747462
415903.5,-653269.0849416186,64388.527259231196,-588880.5576823874
415903.60000000003,-653737.6399332285,64292.8857882039,-589444.7541450246
415903.7,-653396.6283825502,63738.706260402294,-589657.9221221479
415903.80000000005,-653411.7710267146,64427.84553913499,-588983.9254875795
415903.9,-653027.1142139565,64466.87352857749,-588560.240685379
415904.0,-653261.6407586811,64433.52339501525,-588828.1173636658
415904.10000000003,-653341.8218346969,64357.76940099189,-588984.0524337051
415904.2,-653159.4192164314,64618.26028920783,-588541.1589272236
415904.30000000005,-653306.2142446258,64261.79902440103,-589044.4152202248
415904.4,-653669.2981225871,64111.13736165709,-589558.16076093
415904.5,-653898.2593506859,64254.84746804928,-589643.4118826366
415904.60000000003,-653314.1449292294,63929.19047340244,-589384.9544558269
415904.7,-653882.8111257195,64224.9328756328,-589657.8782500867
415904.80000000005,-653441.9654090126,64178.35666827764,-589263.608740735
415904.9,-653592.8530163097,64355.24556249808,-589237.6074538116
415905.0,-653623.935120555,63983.9908332912,-589639.9442872638
415905.10000000003,-653626.951744606,63856.81817703851,-589770.1335675674
415905.2,-653687.3170653076,64494.1835723986,-589193.133492909
415905.30000000005,-653400.7068336378,64482.534925886175,-588918.1719077516
415905.4,-653331.4700948119,64337.10585970631,-588994.3642351056
415905.5,-653461.4632994442,64177.58616862668,-589283.8771308175
415905.60000000003,-653227.8844549459,64386.733165060024,-588841.1512898859
415905.7,-652808.403185742,63888.53174052782,-588919.8714452141
415905.80000000005,-653533.8124358177,63944.20221222834,-589589.6102235893
