,Cluster,Num_Constituents,Total_Mass,Total_Charge,Sum_Radii
146,Frame10_Cluster2,484,484000,-27,363.0
147,Frame10_Cluster3,325,325000,36,243.75
148,Frame10_Cluster4,265,265000,12,198.75
149,Frame10_Cluster5,249,249000,6,186.75
150,Frame10_Cluster6,233,233000,-30,174.75
151,Frame10_Cluster7,214,214000,15,160.5
152,Frame10_Cluster8,159,159000,12,119.25
153,Frame10_Cluster9,105,105000,0,78.75
154,Frame10_Cluster10,79,79000,-15,59.25
155,Frame10_Cluster11,75,75000,-6,56.25
156,Frame10_Cluster12,69,69000,9,51.75
157,Frame10_Cluster13,65,65000,9,48.75
158,Frame10_Cluster14,55,55000,-3,41.25
159,Frame10_Cluster15,13,13000,3,9.75
160,Frame11_Cluster0,856,856000,-24,642.0
161,Frame11_Cluster1,634,634000,9,475.5
162,Frame11_Cluster2,484,484000,-27,363.0
163,Frame11_Cluster3,325,325000,36,243.75
164,Frame11_Cluster4,265,265000,12,198.75
165,Frame11_Cluster5,248,248000,3,186.0
166,Frame11_Cluster6,233,233000,-30,174.75
167,Frame11_Cluster7,214,214000,15,160.5
168,Frame11_Cluster8,159,159000,12,119.25
169,Frame11_Cluster9,105,105000,0,78.75
170,Frame11_Cluster10,79,79000,-15,59.25
171,Frame11_Cluster11,75,75000,-6,56.25
172,Frame11_Cluster12,69,69000,9,51.75
173,Frame11_Cluster13,65,65000,9,48.75
174,Frame11_Cluster14,55,55000,-3,41.25
175,Frame11_Cluster15,13,13000,3,9.75
176,Frame12_Cluster0,856,856000,-24,642.0
177,Frame12_Cluster1,633,633000,9,474.75
178,Frame12_Cluster2,484,484000,-27,363.0
179,Frame12_Cluster3,325,325000,36,243.75
180,Frame12_Cluster4,265,265000,12,198.75
181,Frame12_Cluster5,248,248000,3,186.0
182,Frame12_Cluster6,233,233000,-30,174.75
183,Frame12_Cluster7,214,214000,15,160.5
184,Frame12_Cluster8,159,159000,12,119.25
185,Frame12_Cluster9,105,105000,0,78.75
186,Frame12_Cluster10,79,79000,-15,59.25
187,Frame12_Cluster11,75,75000,-6,56.25
188,Frame12_Cluster12,69,69000,9,51.75
189,Frame12_Cluster13,64,64000,6,48.0
190,Frame12_Cluster14,55,55000,-3,41.25
191,Frame12_Cluster15,13,13000,3,9.75
192,Frame13_Cluster0,856,856000,-24,642.0
193,Frame13_Cluster1,633,633000,9,474.75
194,Frame13_Cluster2,484,484000,-27,363.0
195,Frame13_Cluster3,325,325000,36,243.75
196,Frame13_Cluster4,265,265000,12,198.75
197,Frame13_Cluster5,248,248000,3,186.0
198,Frame13_Cluster6,233,233000,-30,174.75
199,Frame13_Cluster7,214,214000,15,160.5
200,Frame13_Cluster8,159,159000,12,119.25
201,Frame13_Cluster9,105,105000,0,78.75
202,Frame13_Cluster10,79,79000,-15,59.25
203,Frame13_Cluster11,75,75000,-6,56.25
204,Frame13_Cluster12,69,69000,9,51.75
205,Frame13_Cluster13,65,65000,9,48.75
206,Frame13_Cluster14,55,55000,-3,41.25
207,Frame13_Cluster15,13,13000,3,9.75
208,Frame14_Cluster0,856,856000,-24,642.0
209,Frame14_Cluster1,633,633000,9,474.75
210,Frame14_Cluster2,484,484000,-27,363.0
211,Frame14_Cluster3,325,325000,36,243.75
212,Frame14_Cluster4,265,265000,12,198.75
213,Frame14_Cluster5,249,249000,6,186.75
214,Frame14_Cluster6,233,233000,-30,174.75
215,Frame14_Cluster7,214,214000,15,160.5
216,Frame14_Cluster8,159,159000,12,119.25
217,Frame14_Cluster9,105,105000,0,78.75
218,Frame14_Cluster10,79,79000,-15,59.25
219,Frame14_Cluster11,75,75000,-6,56.25
220,Frame14_Cluster12,69,69000,9,51.75
221,Frame14_Cluster13,64,64000,6,48.0
222,Frame14_Cluster14,55,55000,-3,41.25
223,Frame14_Cluster15,13,13000,3,9.75
224,Frame15_Cluster0,856,856000,-24,642.0
225,Frame15_Cluster1,633,633000,9,474.75
226,Frame15_Cluster2,484,484000,-27,363.0
227,Frame15_Cluster3,325,325000,36,243.75
228,Frame15_Cluster4,265,265000,12,198.75
229,Frame15_Cluster5,249,249000,6,186.75
230,Frame15_Cluster6,233,233000,-30,174.75
231,Frame15_Cluster7,214,214000,15,160.5
232,Frame15_Cluster8,159,159000,12,119.25
233,Frame15_Cluster9,105,105000,0,78.75
234,Frame15_Cluster10,79,79000,-15,59.25
235,Frame15_Cluster11,75,75000,-6,56.25
236,Frame15_Cluster12,69,69000,9,51.75
237,Frame15_Cluster13,65,65000,9,48.75
238,Frame15_Cluster14,55,55000,-3,41.25
239,Frame15_Cluster15,13,13000,3,9.75
240,Frame16_Cluster0,856,856000,-24,642.0
241,Frame16_Cluster1,633,633000,9,474.75
242,Frame16_Cluster2,484,484000,-27,363.0
243,Frame16_Cluster3,325,325000,36,243.75
244,Frame16_Cluster4,265,265000,12,198.75
245,Frame16_Cluster5,249,249000,6,186.75
246,Frame16_Cluster6,233,233000,-30,174.75
247,Frame16_Cluster7,214,214000,15,160.5
248,Frame16_Cluster8,159,159000,12,119.25
249,Frame16_Cluster9,105,105000,0,78.75
250,Frame16_Cluster10,79,79000,-15,59.25
251,Frame16_Cluster11,75,75000,-6,56.25
252,Frame16_Cluster12,69,69000,9,51.75
253,Frame16_Cluster13,65,65000,9,48.75
254,Frame16_Cluster14,55,55000,-3,41.25
255,Frame16_Cluster15,13,13000,3,9.75
256,Frame17_Cluster0,856,856000,-24,642.0
257,Frame17_Cluster1,633,633000,9,474.75
258,Frame17_Cluster2,484,484000,-27,363.0
259,Frame17_Cluster3,325,325000,36,243.75
260,Frame17_Cluster4,265,265000,12,198.75
261,Frame17_Cluster5,249,249000,6,186.75
262,Frame17_Cluster6,233,233000,-30,174.75
263,Frame17_Cluster7,214,214000,15,160.5
264,Frame17_Cluster8,159,159000,12,119.25
265,Frame17_Cluster9,105,105000,0,78.75
266,Frame17_Cluster10,79,79000,-15,59.25
267,Frame17_Cluster11,75,75000,-6,56.25
268,Frame17_Cluster12,69,69000,9,51.75
269,Frame17_Cluster13,65,65000,9,48.75
270,Frame17_Cluster14,55,55000,-3,41.25
271,Frame17_Cluster15,13,13000,3,9.75
272,Frame18_Cluster0,856,856000,-24,642.0
273,Frame18_Cluster1,633,633000,9,474.75
274,Frame18_Cluster2,484,484000,-27,363.0
275,Frame18_Cluster3,325,325000,36,243.75
276,Frame18_Cluster4,265,265000,12,198.75
277,Frame18_Cluster5,249,249000,6,186.75
278,Frame18_Cluster6,233,233000,-30,174.75
279,Frame18_Cluster7,214,214000,15,160.5
280,Frame18_Cluster8,159,159000,12,119.25
281,Frame18_Cluster9,105,105000,0,78.75
282,Frame18_Cluster10,79,79000,-15,59.25
283,Frame18_Cluster11,75,75000,-6,56.25
284,Frame18_Cluster12,69,69000,9,51.75
285,Frame18_Cluster13,65,65000,9,48.75
286,Frame18_Cluster14,55,55000,-3,41.25
287,Frame18_Cluster15,13,13000,3,9.75
288,Frame19_Cluster0,856,856000,-24,642.0
289,Frame19_Cluster1,633,633000,9,474.75
290,Frame19_Cluster2,484,484000,-27,363.0
291,Frame19_Cluster3,325,325000,36,243.75
292,Frame19_Cluster4,265,265000,12,198.75
293,Frame19_Cluster5,249,249000,6,186.75
294,Frame19_Cluster6,233,233000,-30,174.75
295,Frame19_Cluster7,214,214000,15,160.5
296,Frame19_Cluster8,159,159000,12,119.25
297,Frame19_Cluster9,105,105000,0,78.75
298,Frame19_Cluster10,79,79000,-15,59.25
299,Frame19_Cluster11,75,75000,-6,56.25
300,Frame19_Cluster12,69,69000,9,51.75
301,Frame19_Cluster13,65,65000,9,48.75
302,Frame19_Cluster14,55,55000,-3,41.25
303,Frame19_Cluster15,13,13000,3,9.75
304,Frame20_Cluster0,856,856000,-24,642.0
305,Frame20_Cluster1,634,634000,9,475.5
306,Frame20_Cluster2,484,484000,-27,363.0
307,Frame20_Cluster3,325,325000,36,243.75
308,Frame20_Cluster4,265,265000,12,198.75
309,Frame20_Cluster5,249,249000,6,186.75
310,Frame20_Cluster6,233,233000,-30,174.75
311,Frame20_Cluster7,214,214000,15,160.5
312,Frame20_Cluster8,159,159000,12,119.25
313,Frame20_Cluster9,105,105000,0,78.75
314,Frame20_Cluster10,79,79000,-15,59.25
315,Frame20_Cluster11,75,75000,-6,56.25
316,Frame20_Cluster12,69,69000,9,51.75
317,Frame20_Cluster13,65,65000,9,48.75
318,Frame20_Cluster14,55,55000,-3,41.25
319,Frame20_Cluster15,13,13000,3,9.75
320,Frame21_Cluster0,856,856000,-24,642.0
321,Frame21_Cluster1,634,634000,9,475.5
322,Frame21_Cluster2,484,484000,-27,363.0
323,Frame21_Cluster3,325,325000,36,243.75
324,Frame21_Cluster4,265,265000,12,198.75
325,Frame21_Cluster5,249,249000,6,186.75
326,Frame21_Cluster6,233,233000,-30,174.75
327,Frame21_Cluster7,214,214000,15,160.5
328,Frame21_Cluster8,159,159000,12,119.25
329,Frame21_Cluster9,105,105000,0,78.75
330,Frame21_Cluster10,79,79000,-15,59.25
331,Frame21_Cluster11,75,75000,-6,56.25
332,Frame21_Cluster12,69,69000,9,51.75
333,Frame21_Cluster13,65,65000,9,48.75
334,Frame21_Cluster14,55,55000,-3,41.25
335,Frame21_Cluster15,13,13000,3,9.75
336,Frame22_Cluster0,856,856000,-24,642.0
337,Frame22_Cluster1,634,634000,9,475.5
338,Frame22_Cluster2,484,484000,-27,363.0
339,Frame22_Cluster3,325,325000,36,243.75
340,Frame22_Cluster4,265,265000,12,198.75
341,Frame22_Cluster5,249,249000,6,186.75
342,Frame22_Cluster6,233,233000,-30,174.75
343,Frame22_Cluster7,214,214000,15,160.5
344,Frame22_Cluster8,159,159000,12,119.25
