Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
963000.0,-23994.44602088567,6390.366212284139,-17604.07980860153
963100.0,-23819.033057069355,6390.960316766579,-17428.072740302778
963200.0,-23839.15499224144,6366.895410297888,-17472.259581943552
963300.0,-24096.3951534928,6372.004045768912,-17724.391107723888
963400.0,-24064.14104585218,6430.76787635536,-17633.37316949682
963500.0,-23811.576487114267,6300.266879787969,-17511.3096073263
963600.0,-23762.217019834978,6353.468596846804,-17408.748422988174
963700.0,-23841.69000971796,6449.711549370486,-17391.978460347476
963800.0,-23687.798015625172,6469.368880145323,-17218.429135479848
963900.0,-23724.72828041201,6480.254425506332,-17244.47385490568
964000.0,-23635.86536370568,6585.438131197833,-17050.42723250785
964100.0,-23660.822595028232,6385.7072635519735,-17275.11533147626
964200.0,-23754.620471529328,6399.458070035217,-17355.16240149411
964300.0,-24037.100577470355,6491.0857252794995,-17546.014852190856
964400.0,-23850.926174966207,6448.8966029649555,-17402.02957200125
964500.0,-23880.821427057366,6447.39650575942,-17433.42492129795
964600.0,-23782.30800221123,6414.217439160822,-17368.090563050406
964700.0,-24149.90556850704,6732.747435450905,-17417.15813305614
964800.0,-23692.2482809192,6493.651763884893,-17198.596517034308
964900.0,-23718.455132708004,6328.612564234523,-17389.842568473483
965000.0,-23811.00535026598,6398.142783567065,-17412.862566698914
965100.0,-23967.401269355774,6411.966368779488,-17555.434900576285
965200.0,-23987.244515912527,6360.8253181652435,-17626.419197747284
965300.0,-23956.365343703543,6479.56055938035,-17476.80478432319
965400.0,-23819.880633312347,6450.479995434177,-17369.40063787817
965500.0,-23934.820381250443,6523.903437879268,-17410.916943371176
965600.0,-23864.031579746756,6361.116354276233,-17502.915225470522
965700.0,-23837.5013228301,6335.218185652313,-17502.283137177787
965800.0,-23896.87735192573,6437.9299146559715,-17458.94743726976
965900.0,-23805.712014847493,6412.661479900967,-17393.050534946527
966000.0,-23857.9761691186,6373.24253133181,-17484.73363778679
966100.0,-23869.488821596653,6436.850559585505,-17432.638262011147
966200.0,-23906.131404512707,6355.398338178247,-17550.733066334462
966300.0,-23676.628580208977,6396.279779580482,-17280.348800628497
966400.0,-23883.711082314305,6512.628404735102,-17371.0826775792
966500.0,-23711.913315378693,6388.472036159314,-17323.44127921938
966600.0,-23911.103579100338,6345.866049943521,-17565.237529156817
966700.0,-23745.35305004762,6406.007273231042,-17339.345776816575
966800.0,-23693.81651752029,6406.472378830211,-17287.344138690078
966900.0,-23931.260418898266,6404.0263825129305,-17527.234036385336
967000.0,-23994.196920597296,6559.293764142631,-17434.903156454668
967100.0,-23890.038055440087,6397.14185761466,-17492.896197825426
967200.0,-23698.37781096864,6312.7095834084075,-17385.668227560232
967300.0,-23844.613210051335,6425.9558025151655,-17418.65740753617
967400.0,-23701.35953874675,6342.603217448956,-17358.756321297795
967500.0,-23919.04173192838,6277.496542285331,-17641.54518964305
967600.0,-23939.061987001434,6304.88943663397,-17634.172550367464
967700.0,-23806.36316126285,6344.297545932314,-17462.065615330535
967800.0,-23817.60707881381,6379.80545466277,-17437.80162415104
967900.0,-24052.660512053517,6417.882878841708,-17634.77763321181
968000.0,-24104.710609894362,6373.818600154979,-17730.892009739382
968100.0,-23968.651106879515,6412.789496772799,-17555.861610106716
968200.0,-23908.32383108696,6295.778741315458,-17612.5450897715
968300.0,-23967.45534620923,6340.8852299446025,-17626.57011626463
968400.0,-23918.445713334262,6403.617149925662,-17514.8285634086
968500.0,-23836.895955782267,6565.519026273501,-17271.376929508766
968600.0,-23588.24351888735,6513.939124029712,-17074.304394857638
968700.0,-23883.893066571465,6417.622362992461,-17466.270703579004
968800.0,-23778.637732376774,6454.856260321507,-17323.781472055267
968900.0,-23876.963571817367,6398.6187728868645,-17478.344798930502
969000.0,-23830.76214684992,6483.884670379788,-17346.87747647013
969100.0,-23721.851681973043,6390.850962351695,-17331.00071962135
969200.0,-23785.24410858703,6430.287365246534,-17354.956743340495
969300.0,-23853.40654642033,6328.307669379352,-17525.09887704098
969400.0,-23710.93192423584,6397.617686597062,-17313.314237638777
969500.0,-23791.002906253816,6303.903296642648,-17487.09960961117
969600.0,-23979.48070311796,6437.458294949243,-17542.022408168716
969700.0,-23898.828507661976,6529.702693979509,-17369.12581368247
969800.0,-23935.981035434907,6349.329462948901,-17586.651572486007
969900.0,-23714.11483207161,6468.5394954130725,-17245.575336658538
970000.0,-23928.25728304393,6461.123138619869,-17467.13414442406
970100.0,-23648.240882922622,6370.845024032021,-17277.395858890603
970200.0,-23879.51881993089,6561.192642776182,-17318.326177154708
970300.0,-23834.8821613246,6405.42177126545,-17429.46039005915
970400.0,-23738.761327665434,6474.820234858425,-17263.94109280701
970500.0,-23747.041957440102,6254.314482407664,-17492.727475032436
970600.0,-23732.36002468315,6452.524465790848,-17279.8355588923
970700.0,-23620.546875532073,6465.491004226422,-17155.055871305653
970800.0,-23900.6060405094,6394.864561770949,-17505.74147873845
970900.0,-23697.428535095154,6265.247604800149,-17432.180930295006
971000.0,-23884.878079104612,6391.855929542076,-17493.022149562537
971100.0,-23875.6295131733,6521.073016902993,-17354.556496270307
971200.0,-23572.78440910901,6435.3628645201115,-17137.4215445889
971300.0,-23595.996742313604,6366.742742707218,-17229.253999606386
971400.0,-23654.324490140967,6460.0155764771025,-17194.308913663866
971500.0,-23797.570528049684,6310.399905622446,-17487.17062242724
971600.0,-23724.295297284443,6453.499583165801,-17270.79571411864
971700.0,-23755.88678966089,6391.389121926008,-17364.497667734882
971800.0,-23588.307053537606,6254.493222757783,-17333.81383077982
971900.0,-23666.94024932003,6501.660992584182,-17165.27925673585
972000.0,-23759.45219749886,6449.816326857184,-17309.635870641676
972100.0,-23720.485867833653,6441.41812405069,-17279.067743782965
972200.0,-23734.125718148804,6448.17395776842,-17285.951760380383
972300.0,-23673.679659916364,6468.428426084363,-17205.251233832
972400.0,-23752.91613323703,6333.8848189188875,-17419.031314318145
972500.0,-23781.959535227656,6360.465863773627,-17421.49367145403
972600.0,-23844.053819972487,6454.377273867896,-17389.67654610459
972700.0,-23770.223468991073,6580.046280350758,-17190.177188640315
972800.0,-23766.395557169584,6379.002804963454,-17387.39275220613
972900.0,-23873.09991768821,6423.6513707541235,-17449.448546934087
973000.0,-23727.939333351504,6511.145750279471,-17216.79358307203
973100.0,-23734.766565571186,6446.403650747008,-17288.362914824178
973200.0,-23812.012163352803,6464.921954771441,-17347.09020858136
973300.0,-23819.87662259575,6495.6343184713605,-17324.24230412439
973400.0,-23862.480961346355,6508.942580319677,-17353.53838102668
973500.0,-23932.587155150733,6496.985950621124,-17435.60120452961
973600.0,-23767.620201480837,6514.49504535646,-17253.125156124377
973700.0,-23755.240283348303,6443.776144667515,-17311.46413868079
973800.0,-23768.795099776165,6369.6845437890925,-17399.110555987074
973900.0,-23750.157200525926,6448.631860519587,-17301.525340006338
